index,Date,production_1,production_2,production_3,Total production (ton),production_1%,production_2%,production_3%,Clusters,outlier
219,2019-10-21,47.070000000000014,26.584542271135568,65.96000000000005,139.61454227113563,0.3371425299564329,0.1904138482902991,0.472443621753268,0,0
220,2019-10-22,46.640000000000015,24.174587293646823,65.7185999999999,136.53318729364673,0.3416019278865125,0.17706015491789323,0.48133791719559427,0,0
221,2019-10-23,46.50999999999998,26.291895947973988,66.90860000000002,139.71049594797398,0.3329026905560451,0.18818840896366643,0.4789089004802885,0,0
222,2019-10-24,47.430000000000035,27.00975487743872,65.19860000000008,139.63835487743884,0.3396631250893033,0.19342647585002912,0.46691039906066756,0,0
223,2019-10-25,38.76,29.084542271135568,65.88859999999995,133.73314227113553,0.2898309225503468,0.21748193287919973,0.4926871445704533,0,0
224,2019-10-26,46.83,30.113806903451724,65.98999999999998,142.9338069034517,0.3276341756686892,0.21068358533116566,0.4616822390001451,0,0
230,2019-11-08,45.97,16.870935467733865,65.94929999999998,128.79023546773385,0.3569369978480782,0.13099545479098518,0.5120675473609366,0,0
231,2019-11-09,47.54000000000002,19.90495247623812,65.65929999999997,133.10425247623812,0.35716364515466476,0.14954407621042437,0.4932922786349108,0,0
232,2019-11-10,47.66999999999997,19.64232116058029,66.19930000000005,133.51162116058032,0.35704757073292637,0.1471206849998144,0.4958317442672592,0,0
233,2019-11-11,47.109999999999985,26.091795897948973,67.26859999999996,140.47039589794892,0.33537315602232076,0.18574587001879414,0.4788809739588851,0,0
234,2019-11-12,44.41000000000003,29.06328164082041,68.75930000000005,142.2325816408205,0.31223506940307433,0.20433631524887752,0.483428615348048,0,0
235,2019-11-13,38.44,30.076288144072034,67.8386,136.35488814407205,0.2819114189685994,0.2205735969824092,0.4975149840489913,0,0
237,2019-11-15,44.75999999999997,26.74712356178089,66.70930000000003,138.21642356178089,0.3238399522036023,0.1935162470024793,0.48264380079391844,0,0
238,2019-11-16,36.09999999999999,29.114557278639317,67.66,132.87455727863932,0.27168481866921984,0.21911310844547757,0.5092020728853025,0,1
240,2019-11-18,43.269999999999975,28.412956478239117,68.39930000000005,140.08225647823915,0.30888994143752735,0.20283051681604575,0.4882795417464269,0,0
242,2019-11-20,46.00999999999999,28.935717858929465,68.28000000000006,143.2257178589295,0.3212411896955381,0.20202878569217414,0.47673002461228786,0,0
243,2019-11-21,45.300000000000026,29.412206103051524,67.63859999999997,142.35080610305153,0.3182279134212008,0.206617769918066,0.47515431666073316,0,0
244,2019-11-22,46.44000000000001,30.87543771885943,67.01,144.32543771885946,0.32177279857251073,0.21392928514101323,0.46429791628647593,0,0
245,2019-11-23,45.479999999999976,31.30440220110055,68.31790000000001,145.10230220110054,0.31343403454045976,0.21574021725523745,0.47082574820430273,0,0
246,2019-11-24,45.219999999999985,30.965482741370685,67.64789999999996,143.83338274137063,0.31439154901411775,0.21528717569724598,0.4703212752886363,0,0
247,2019-11-25,44.730000000000004,31.878439219609803,67.8786,144.4870392196098,0.3095779402885656,0.22063182546883592,0.46979023424259847,0,0
248,2019-11-26,41.480000000000004,32.45372686343171,67.58929999999997,141.52302686343168,0.2930971794436519,0.22931764238443852,0.4775851781719096,0,0
249,2019-11-27,45.85000000000002,31.350675337668832,68.95930000000008,146.15997533766893,0.3136973709394393,0.21449562553113685,0.47180700352942395,0,0
250,2019-11-28,45.27999999999999,32.77388694347174,67.91929999999991,145.97318694347163,0.3101939537535393,0.22451991101738075,0.4652861352290799,0,0
